"chamber","id","licor","Obs","FTime","O2","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","datetime","xsi","DELTA","CiCa","a_prime","Rd","Gstar","rd_term","f_term","TleafminusTair","TblockminusTair","CO2Rdry","CO2Sdry","t","t2","t3","Di","DiminusDo","rd_term2","f_term2","gm","gm_bar","delta_i","delta_gm","delta_e","delta_f","campaign","leaf","light","Month","temp","drydown","leaflight"
"ch01","1-ch01-shade-high","H4",23,9049,21,0,17.78786017,0.222504378,219.8805808,2.772372033,1.340097347,21.76467133,6,1.420000017,1,2.840000033,20.22012711,21.76467133,19.04660988,400.2584534,362.5667725,7.053748131,12.54432297,30.152174,53.62236023,299.1593323,1074.857056,6.847001076,101.6846161,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498598887,0.002772372,294.9146713,293.3701271,171.9771251,0.390012528,2.615662012,25.72328158,13.17895861,20.99239922,2.494766291,0.206338459,1.275564665,1.219201626,0.130322636,22.35847244,0.60645541,51.56195836,354.1112756,0.025900811,2013-10-26 11:31:18,10.4066389335022,12.9344937526696,0.549346500822711,4.31111091270369,0.727777759315517,38.8866442432882,0.119995321891538,1.73751067257899,1.54454422,-1.17351723,403.101832195451,367.172705503606,0.0106824267900994,1.01079777321193,1.02159554642386,18.2388835397016,5.30438978703193,0.901600224532326,-0.715915126155126,0.263978452435504,0.25960510307272,18.2388835397016,4.20480815007953,0.111042899594145,1.60788120834692,1,"shade","high","Oct","ambient","control","shade-high"
"ch01","1-ch01-shade-high","H4",24,9129.5,21,0,18.24901064,0.225349121,217.5609763,2.722963552,1.301184465,21.46208,6,1.420000017,1,2.840000033,18.60722923,21.46208,17.05592918,400.4935303,361.9160767,7.061961651,12.45522213,33.37331009,58.8606987,299.1565247,1074.27124,6.339038372,101.685112,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498594208,0.002722964,294.61208,291.7572292,171.8833946,0.24756181,2.567695122,25.25143624,12.79621411,20.03465462,2.351653674,0.208782582,1.266510657,1.085143016,0.131882823,22.12271224,0.601136535,52.14802418,353.241371,0.026940498,2013-10-26 11:32:38,10.2504716393802,10.7979817361159,0.543232186889587,4.30986076339565,0.727755716277657,38.8863113610448,0.115783508536162,1.74061967567998,2.85485077,-1.55130005,403.341915439072,366.480674912386,0.010367912528582,1.01047653229906,1.02095306459812,18.0730522504569,7.27507051434098,0.905169556061961,-0.719666611081859,0.19580579168214,0.192560924437139,18.0730522504569,5.81035429341018,0.106823020394844,1.60591308266286,1,"shade","high","Oct","ambient","control","shade-high"
"ch01","1-ch01-shade-high","H4",25,9210,21,0,18.26995368,0.229109846,219.5651049,2.711913009,1.276298643,21.29592896,6,1.420000017,1,2.840000033,18.05833817,21.29592896,16.39474678,400.4613342,361.8535461,7.07388258,12.44485188,34.59874344,60.86844635,299.1821594,1073.882202,6.649711132,101.6795654,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498636932,0.002711913,294.445929,291.2083382,171.8211485,0.204715024,2.541685774,24.99701649,12.55216461,19.67713356,2.30010465,0.212006737,1.265387131,1.034717519,0.133941534,22.32528445,0.606778923,52.6474007,353.1688852,0.027235286,2013-10-26 11:33:59,10.1728514737177,11.0328580173109,0.548280410988053,4.30844659453617,0.727743593597129,38.8861282876831,0.116971593654266,1.74091226975671,3.23759079,-1.66359139,403.314332430444,366.413507933058,0.0101671119481441,1.0102715438847,1.0205430877694,18.1929700277661,7.16011201045515,0.903571494115134,-0.720369181987312,0.19915221207649,0.195862572084213,18.1929700277661,5.7178319782035,0.107865856296329,1.60538970913854,1,"shade","high","Oct","ambient","control","shade-high"
"ch01","1-ch01-shade-high","H4",26,9290.5,21,0,18.22420115,0.230695891,220.9908959,2.663423714,1.245811138,21.03989029,6,1.420000017,1,2.840000033,17.62705612,21.03989029,15.92172146,400.4142151,361.9352417,7.079821587,12.35492134,35.58105469,62.09211731,299.2001038,1074.034302,6.434073448,101.6797943,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49866684,0.002663424,294.1898903,290.7770561,171.8454844,0.209504379,2.502056999,24.60721932,12.25229797,19.33347321,2.251490323,0.213364121,1.256245861,0.995244462,0.134808464,22.47030884,0.610581315,53.08217587,353.2723293,0.027383414,2013-10-26 11:35:19,10.1594975736026,11.8181954164822,0.551905720541938,4.30780496708652,0.727724886139706,38.8858457685526,0.118149851792887,1.7405066676892,3.41283417,-1.70533466,403.269289722753,366.462861528212,0.00992110266868935,1.01002051724911,1.02004103449822,18.2756733765883,6.45747796010613,0.901891182705336,-0.720465633190977,0.220674408942675,0.217028772001238,18.2756733765883,5.14534453243778,0.10893619698174,1.60477710570296,1,"shade","high","Oct","ambient","control","shade-high"
"ch01","1-ch01-shade-low","H4",18,7452,21,0,12.02916206,0.145470518,230.1676962,1.769360919,1.276510208,21.17014694,6,1.420000017,1,2.840000033,19.73135376,21.17014694,18.2568512,399.8750305,374.4176331,8.740151405,12.24574471,38.52272415,53.97382736,299.1266174,350.8963928,505.2416687,101.7201767,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498544362,0.001769361,294.3201469,292.8813538,56.1434216,-0.447482195,2.522149524,24.79497781,12.5492331,20.45075035,2.412920555,0.138382298,1.245639315,1.16728124,0.087099011,23.41269873,0.614735194,50.94562784,368.6995455,0.01662148,2013-10-26 11:04:40,15.7382426712635,12.6935539652169,0.575599071320358,4.34053979097443,0.727734407344989,38.8859895579921,0.178226883195306,1.68248761583091,1.43879318,-1.47450256,403.400814697355,379.059498954092,0.010201269107829,1.01030640754473,1.02061281508946,18.8975647194546,6.20401075423765,0.84238593189415,-0.661874800741455,0.146168529341526,0.14369669232154,18.8975647194546,5.10638834962583,0.170320230725361,1.60784767024659,1,"shade","low","Oct","ambient","control","shade-low"
"ch01","1-ch01-shade-low","H4",19,7532.5,21,0,12.11696019,0.147129912,230.7809943,1.721432493,1.228999471,20.77384186,6,1.420000017,1,2.840000033,19.10055733,20.77384186,18.09837532,399.904541,374.309906,8.705980301,12.11672592,39.90568161,55.53954697,299.1558838,351.1011353,571.6038818,101.7150803,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49859314,0.001721432,293.9238419,292.2505573,56.17618038,-0.451476819,2.461453221,24.19949151,12.08276559,19.93719959,2.337502776,0.139883086,1.23245375,1.105049026,0.088050356,23.47390736,0.616550592,51.65152487,368.5500834,0.016981667,2013-10-26 11:06:00,15.7556775305934,13.0800248505115,0.577090206885148,4.33980492294083,0.727705413301785,38.8855516851481,0.177621009080773,1.68295288797246,1.67328453,-1.00218201,403.416678657487,378.900944900185,0.00981769553667467,1.00991503836457,1.01983007672915,18.9210280771952,5.84100322668377,0.842209067648372,-0.663122811243313,0.156577056085092,0.153936914391928,18.9210280771952,4.79831335063541,0.16954974231392,1.60647791586658,1,"shade","low","Oct","ambient","control","shade-low"
"ch01","1-ch01-shade-low","H4",20,7613,21,0,12.06115409,0.145802631,230.4176475,1.735412324,1.249642341,20.90505219,6,1.420000017,1,2.840000033,19.44880104,20.90505219,18.41640091,400.0984192,374.6061096,8.671161652,12.10937214,38.89525986,54.31765366,299.1784668,351.040741,590.0725708,101.7198257,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498630778,0.001735412,294.0550522,292.598801,56.1665173,-0.431269744,2.481405565,24.39451254,12.28514041,20.17692661,2.372446965,0.138682801,1.231763224,1.140683742,0.087289487,23.43804296,0.615093138,51.20838728,368.8728146,0.016743773,2013-10-26 11:07:21,15.8065392894112,13.7649343348197,0.575902419111582,4.34035623672832,0.727715021295972,38.8856967880546,0.177919587332138,1.68162844070839,1.45625115,-1.03240013,403.598083423805,379.197958797811,0.00998370303003252,1.01008438251026,1.02016876502051,18.8973093824412,5.13237504762152,0.842249177688374,-0.661459675687878,0.178122453027542,0.175110851598266,18.8973093824412,4.19749339791327,0.16994320548826,1.60623870558285,1,"shade","low","Oct","ambient","control","shade-low"
"ch01","1-ch01-shade-low","H4",21,7693.5,21,0,12.0720462,0.147213346,231.5205695,1.772866214,1.264784794,21.04329491,6,1.420000017,1,2.840000033,19.51068497,21.04329491,18.40276527,400.1968689,374.6492615,8.655942917,12.16885567,38.67732239,54.37405777,299.1180115,351.0375061,866.1118774,101.7183228,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498530019,0.001772866,294.1932949,292.660685,56.16599972,-0.460963477,2.502580383,24.60304412,12.43418845,20.27698994,2.38716771,0.139958502,1.237795588,1.149372122,0.088098166,23.54988401,0.617966171,51.0514385,368.9107889,0.016705809,2013-10-26 11:08:41,15.8542425073589,13.0503740651547,0.578516693887107,4.33986035378567,0.72772513510862,38.8858495285035,0.178773457353881,1.68144135621566,1.53260994,-1.1079197,403.691196856082,379.264476171287,0.0101055463844429,1.01020871098685,1.02041742197369,18.9673791335769,5.91700506842216,0.841643964619811,-0.661023934241971,0.153913677785757,0.151313621330922,18.9673791335769,4.86224181750014,0.170778068933394,1.60624128486165,1,"shade","low","Oct","ambient","control","shade-low"
"ch01","1-ch01-sun-high","H4",28,10485,21,0,10.05736128,0.069819816,137.0960639,1.135415017,1.659755726,23.17787361,6,1.420000017,1,2.840000033,19.58249474,23.17787361,17.92606735,400.3200073,379.2828064,9.46244812,11.71322632,42.05803299,52.0621376,299.1273804,1073.536499,10.12497139,101.6343689,0.654617548,0.164705306,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498545634,0.001135415,296.3278736,292.7324947,171.765836,0.975139757,2.85022209,28.04388044,16.33065412,21.38018417,2.554846141,0.068144521,1.190466365,1.364379776,0.042737738,13.93367193,0.36146132,42.01204083,374.5020185,0.011282456,2013-10-26 11:55:13,19.7441629757146,6.97736276986598,0.342466180555548,4.37038986620005,0.727880120300944,38.8881899497218,0.106866437376,1.66099983061477,3.59537887,-1.65642739,404.144200833385,383.778085977713,0.0133415720701483,1.01352197649407,1.02704395298815,13.1126437384156,6.13528096854964,0.92017751561215,-0.633955877626618,0.124724701946441,0.122719020441953,13.1126437384156,5.00992975267872,0.103988717299444,1.61627210620398,1,"sun","high","Oct","ambient","control","sun-high"
"ch01","1-ch01-sun-high","H4",29,10565.5,21,0,10.38899113,0.071760344,135.2794235,1.169884042,1.664894389,23.23302841,6,1.420000017,1,2.840000033,19.3813591,23.23302841,17.6583004,400.5028992,378.7779541,9.437530518,11.75627136,42.4752121,52.91110229,299.1616516,1075.437378,9.957675934,101.6345749,0.654617548,0.164705306,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498602753,0.001169884,296.3830284,292.5313591,172.0699766,0.927487965,2.859738031,28.13745258,16.38118122,21.30719376,2.543441851,0.06999181,1.194843642,1.348598209,0.043900408,13.7490667,0.357147036,42.06066207,373.8395253,0.011688648,2013-10-26 11:56:34,19.2473731615428,9.01040035916716,0.337773893198324,4.36957828377138,0.727884095768511,38.8882499782939,0.101896733601438,1.66321625329345,3.85166931,-1.7230587,404.318668977472,383.283944155422,0.0133825173322359,1.01356403831001,1.02712807662003,12.9940728069569,3.98367244778974,0.925231343018592,-0.636088176673423,0.20435359294898,0.201067002198855,12.9940728069569,3.15910173821476,0.0989837477265283,1.61566884640881,1,"sun","high","Oct","ambient","control","sun-high"
